ID_Source,AI_Tool,Title,Publication_Year,URL,Person_Screening,Accessible,Inclusion_criteria_Monitoring,Inclusion_criteria_Reporting,Inclusion_criteria_Verification,Inclusion_criteria_About_MRV,Inclusion_criteria_About_Soil,In_Scope,ID_MRV,MRV_Name,Land_use_Agriculture,Land_use_Forest,Land_use_Urban,Land_use_Degraded_land,Land_use_Peatland_Wetland,Land_use_Others,Land_use_Others_ Precision,Scale_Local,Scale_Regional,Scale_National,Scale_Continental,Scale_Global,Purpose,Purpose_Others_Precision,Driver_Afforestation_Reforestation,Driver_Agricultural_practices,Driver_Biochar,Driver_Forest_management,Driver_Conservation,Driver_Deforestation,Driver_Restoration,Driver_Weathering,Driver_Grazing,Driver_Irrigation,Driver_Land_conversion,Driver_Rewetting,Driver_Fire_management,Occupation_Farmers,Occupation_Foresters_Forester_Associations,Occupation_Public_Administrators,Occupation_Educational_Institutions_Research,Occupation_NGOs,Occupation_Agroindustry,Occupation_Forestry_Companies,Occupation_Consultancy,Occupation_Others,Occupation_Project_developer,Occupation_Other_companies,Occupation_Software_developers,Occupation_Others_Precision,Cost_MRV,Cost_Unit,Parameter_Soil_Microorganisms,Parameter_Soil_Fauna,Parameter_Soil_pH,Parameter_Oxygen_content,Parameter_Clay_mineralogy,Parameter_Soil_organic_matter_SOC,Parameter_CEC,Parameter_Soil_moisture,Parameter_Soil_temperature,Parameter_Particle_size_distribution_Texture,Parameter_Soil_porosity,Parameter_Soil_diffusivity,Parameter_Aggregate_stability,Parameter_Soil_compaction_Bulk_density,Parameter_Nutrient_availability,Parameter_Pollutant_concentration,Parameter_Soil_depth,Parameter_GHG,Parameter_Peat_depth,Parameter_Soil_color,Parameter_Soil_type,Parameter_Subsidence,Parameter_CaCO3,Parameter_Electrical_conductivity,Parameter_Water_holding_capacity,Parameter_Infiltration_rate,Parameter_Others,Parameter_Others_Precision,Data_Land_Management,Data_Spatial_images,Data_Soil_samples,Data_Modelling,Data_on_site_images,Plot_Area,Plot_Area_Unit,Monitoring_frequency,Methodology_Standard,Methodology_Other,Format_Document,Format_Online,Uncertainty,Uncertainty_Other_Precision,Threshold,Action_based,Result_based,Verification_Methodology_satellite_data,Verification_Methodology_phone_application,Verification_Methodology_field_inspection,Verification_Automatization,Verification_Manual,Auditor,Data_Sharing,Implementation,Country,Continent,Source
AI003,Elicit,Gap assessment in current soil monitoring networks across Europe for measuring soil functions,2017,https://doi.org/10.1088/1748-9326/aa9c5c,Sambit,Yes,Yes,No,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AI013,Elicit,"Guidelines for the Monitoring, Evaluation, Reporting, Verification, and Certification of Forestry Projects for Climate Change Mitigation",1999,https://doi.org/10.2172/7332,Sophia,Yes,No,No,No,No,Yes,No,NA,NA,No,Yes,No,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,"Project developers, evaluators, verifiers, certifiers",NA,NA,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Na,NA,Yes,No,Yes,Na,NA,NA,Na,Na,Na,Na,NA
AI014,Elicit,The practicalities and pitfalls of establishing a policy‐relevant and cost‐effective soil biological monitoring scheme,2013,https://doi.org/10.1002/ieam.1398,Sophia,Yes,No,No,No,No,Yes,No,NA,BISQ,Yes,NA,Na,NA,NA,yes,natural_sites,Yes,Yes,Yea,No,No,Other,Baseline_Establishment; Impact_estimation_of_land_management_regimes,"livestock, pesticides,  liming, tilliage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Na,NA,NA,Yes,Na,Na,NA,NA,Na,NA,NA,NA,NA,Na,NA,yes,yes,na,na,na,na,na,na,na,yes,na,na,na,na,na,na,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,"soil parameters just generally mentioned, no specific ones mentioned",yes,no,yes,no,No,na,na,frequently,NA,NA,NA,NA,NA,NA,NA,na,na,no,no,na,na,na,no,na,Implemented,Netherlands,Europe,NA
AI015,Elicit,Quantifying carbon for agricultural soil management: from the current status toward a global soil information system,2019,https://doi.org/10.1080/17583004.2019.1633231,Sophia,Yes,No,No,No,No,Yes,No,NA,NA,Yes,no,no,NA,NA,no,,no,yes,yes,no,no,voluntary_carbon_market,,carbon_farming_practices,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,yes,yes,yes,yes,no,no,aggregator companies,NA,NA,NA,NA,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,na,NA,yes,yes,yes,yes,No,NA,na,na,Offsets Integrity Standards,Canadian Standards Association,na,NA,NA,NA,NA,na,na,yes,no,yes,na,na,na,na,Implemented,"Australia, Canada",Oceania; North America,NA
AI004,Elicit,Soil C Sequestration as a Biological Negative Emission Strategy,2019,https://doi.org/10.3389/fclim.2019.00008,Peter-Camille,Yes,Yes,No,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AI005,Elicit,Monitoring Soil Quality of Arable Land: Microbiological Indicators,1999,https://doi.org/10.1080/09064719950135669,Peter-Camille,Yes,Yes,No,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AI006,Elicit,Managing Soil Organic Carbon for Mitigating Climate Change and Increasing Food Security,2021,https://doi.org/10.3390/agronomy11081553,Peter-Camille,Yes,No,No,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AI010,Elicit,Environmental Assessment of Soil for Monitoring: Volume IIb Survey of National Networks,2008,https://doi.org/10.2788/93617,Taru-Camille,Yes,Yes,No,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AI011,Elicit,Will European soil‐monitoring networks be able to detect changes in topsoil organic carbon content?,2008,https://doi.org/10.1111/j.1365-2486.2008.01658.x,Taru-Camille,Yes,Yes,No,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AI012,Elicit,"The monitoring evaluation, reporting and verification of climate change mitigation projects",1997,https://doi.org/10.2172/654045,Taru-Camille,Yes,Yes,Yes,Yes,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
