ID_Source,AI_Tool,Title,Publication_Year,URL,Person_Screening,Accessible,Inclusion_criteria_Monitoring,Inclusion_criteria_Reporting,Inclusion_criteria_Verification,Inclusion_criteria_About_MRV,Inclusion_criteria_About_Soil,In_Scope,ID_MRV,MRV_Name,Land_use_Agriculture,Land_use_Forest,Land_use_Urban,Land_use_Degraded_land,Land_use_Peatland_Wetland,Land_use_Others,Land_use_Others_ Precision,Scale_Local,Scale_Regional,Scale_National,Scale_Continental,Scale_Global,Purpose,Purpose_Others_Precision,Driver_Afforestation_Reforestation,Driver_Agricultural_practices,Driver_Biochar,Driver_Forest_management,Driver_Conservation,Driver_Deforestation,Driver_Restoration,Driver_Weathering,Driver_Grazing,Driver_Irrigation,Driver_Land_conversion,Driver_Rewetting,Driver_Fire_management,Occupation_Farmers,Occupation_Foresters_Forester_Associations,Occupation_Public_Administrators,Occupation_Educational_Institutions_Research,Occupation_NGOs,Occupation_Agroindustry,Occupation_Forestry_Companies,Occupation_Consultancy,Occupation_Others,Occupation_Project_developer,Occupation_Other_companies,Occupation_Software_developers,Occupation_Others_Precision,Cost_MRV,Cost_Unit,Parameter_Soil_Microorganisms,Parameter_Soil_Fauna,Parameter_Soil_pH,Parameter_Oxygen_content,Parameter_Clay_mineralogy,Parameter_Soil_organic_matter_SOC,Parameter_CEC,Parameter_Soil_moisture,Parameter_Soil_temperature,Parameter_Particle_size_distribution_Texture,Parameter_Soil_porosity,Parameter_Soil_diffusivity,Parameter_Aggregate_stability,Parameter_Soil_compaction_Bulk_density,Parameter_Nutrient_availability,Parameter_Pollutant_concentration,Parameter_Soil_depth,Parameter_GHG,Parameter_Peat_depth,Parameter_Soil_color,Parameter_Soil_type,Parameter_Subsidence,Parameter_CaCO3,Parameter_Electrical_conductivity,Parameter_Water_holding_capacity,Parameter_Infiltration_rate,Parameter_Others,Parameter_Others_Precision,Data_Land_Management,Data_Spatial_images,Data_Soil_samples,Data_Modelling,Data_on_site_images,Plot_Area,Plot_Area_Unit,Monitoring_frequency,Methodology_Standard,Methodology_Other,Format_Document,Format_Online,Uncertainty,Uncertainty_Other_Precision,Threshold,Action_based,Result_based,Verification_Methodology_satellite_data,Verification_Methodology_phone_application,Verification_Methodology_field_inspection,Verification_Automatization,Verification_Manual,Auditor,Data_Sharing,Implementation,Country,Continent,Source
AI021,Perplexity,Soil Enrichment Protocol Version 1.1,2022,https://www.climateactionreserve.org/wp-content/uploads/2022/06/Soil-Enrichment-Protocol-V_1.1-final.pdf,Camille,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MRV_AI001,Soil enrichment,Yes,No,No,No,No,No,NA,Yes,No,No,No,No,Voluntary_carbon_market,NA,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA,NA,NA,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,NA,Yes,No,Yes,Yes,No,NA,NA,Less_5_years,No,Yes,Yes,No,Other,30th_percentile,Reference,Yes,Yes,Yes,No,Yes,No,Yes,External,No,Implemented,USA,America,AI
AI016,Elicit,Reflectance Spectroscopy as a Tool for Monitoring Contaminated Soils,2011,https://doi.org/10.5772/23661,Camille,Yes,Yes,No,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AI017,Elicit,Measuring and monitoring soil organic carbon stocks in agricultural lands for climate mitigation,2011,https://doi.org/10.1890/090153,Camille,Yes,Yes,No,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AI018,Elicit,Soil Moisture Remote Sensing: State‐of‐the‐Science,2017,https://doi.org/10.2136/vzj2016.10.0105,Camille,Yes,Yes,No,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AI019,Elicit,The challenge of selecting an appropriate soil organic carbon simulation model: A comprehensive global review and validation assessment,2023,https://doi.org/10.1111/gcb.16896,Camille,Yes,Yes,No,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AI020,Elicit,High Resolution Mapping of Soil Properties Using Remote Sensing Variables in South-Western Burkina Faso: A Comparison of Machine Learning and Multiple Linear Regression Models,2017,https://doi.org/10.1371/journal.pone.0170478,Camille,Yes,Yes,No,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AI023,Perplexity,Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas,2019,https://www.ipcc.ch/site/assets/uploads/2019/12/19R_V0_01_Overview.pdf,Camille,Yes,No,No,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AI007,Elicit,"Monitoring, reporting and verification for national REDD + programmes: two proposals",2011,https://doi.org/10.1088/1748-9326/6/1/014002,Kilian,Yes,Yes,Yes,Yes,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AI008,Elicit,"Measurement and monitoring needs, capabilities and potential for addressing reduced emissions from deforestation and forest degradation under REDD+",2015,https://doi.org/10.1088/1748-9326/10/12/123001,Kilian,Yes,Yes,Yes,Yes,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AI009,Elicit,MRV under the UN climate regime: paper tiger or catalyst for continual improvement?,2011,https://doi.org/10.3763/ghgmm.2010.0009,Kilian,Yes,Yes,Yes,Yes,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AI002,Elicit,Accounting for Carbon Stocks in Soils and Measuring GHGs Emission Fluxes from Soils: Do We Have the Necessary Standards?,2017,https://doi.org/10.3389/fenvs.2017.00041,Sambit,Yes,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
